地点名称,类型,经度,纬度,情绪权重,地址,POI编码
鑫群购物中心超市,商场,118.196422,36.800932,0.7,金烯路与金岭大街交叉口北80米,B0FFG45JSY
新玛特名酒专柜(新玛特购物广场店),商场,118.028595,36.837937,0.7,中润大道1号新玛特购物广场中润店F1层,B0GR17WS0Y
红樱桃时尚购物广场(振华商厦店),商场,118.055728,36.802018,0.7,振华商厦,B0FFG2SVZF
圆心楼商城,商场,117.844755,36.618944,0.7,510省道与048县道交叉口西40米,B0FFFZ2Z2J
供销商场,商场,118.048573,36.196962,0.7,阳光路70号甲3号,B0FFFYX0K4
北金商场,商场,118.192956,36.884658,0.7,张皇路(北金小学东北侧约50米),B02150QKP6
吾悦广场(淄博周村店),商场,117.866457,36.823203,0.7,正阳路5299号,B0GRK53MVK
吾悦广场(淄博店),商场,118.025098,36.783679,0.7,世纪路昌国路交汇处东南角,B0FFMADXYQ
信誉楼百货(周村店),商场,117.851852,36.807588,0.7,东街与青年路交叉口西北角,B0FFM8IAA1
银泰商城,商场,117.851987,36.798059,0.7,东街301号,B0FFL4A1Z5
利群时代(柳泉路店),商场,118.047509,36.801921,0.7,柳泉路29号,B0FFJJR90M
银座购物广场,商场,118.033203,36.849245,0.7,鲁泰大道9号名尚银泰城2层,B0FFJCRTWM
淄博商厦,商场,118.058471,36.802055,0.7,金晶大道125号,B0FFIE4D6G
佳惠新天地生活广场,商场,118.187319,36.192233,0.7,鲁山路与润生路交汇处鲁中义务商贸城东区,B0FFIBXEWQ
佳惠生活超市,商场,117.853524,36.795434,0.7,东街68号,B0FFH3PI45
银座商城超市(柳泉路店),商场,118.050484,36.805618,0.7,柳泉路128号银座商城淄博店B1层,B0FFFDFQIW
茂业百货(广场店),商场,118.296332,36.819241,0.7,大顺路69号,B02150RY4B
SM广场,商场,117.962256,36.643708,0.7,般阳路8号,B02150QZ8D
银座·奥特莱斯(柳泉路店),商场,118.056075,36.834419,0.7,柳泉路105号,B02150QA1Q
新玛特购物广场(中润店),商场,118.028591,36.837958,0.7,中润大道1号,B021504O30
淄博商厦(博山店),商场,117.857579,36.511671,0.7,白虎山西路8号,B021503W8N
信誉楼百货(桓台店),商场,118.098030,36.946430,0.7,张北路1373号,B021503RWC
老华盛商场,商场,117.830529,37.168815,0.7,青城路39号华盛购物广场,B021503QF7
银座二店,商场,117.975212,36.645192,0.7,淄城东路3l4号,B0FFGBOC0U
东方购物广场(沂源店),商场,118.160871,36.184001,0.7,历山路49号,B02150QA5B
百纳信誉商场,商场,117.860181,36.498542,0.7,西冶街艺缘阁3楼,B021503X3M
方和茂,商场,118.300029,36.814320,0.7,槐荫路与桓公路交叉口西北80米,B0IUXSGEMI
淄博鑫马吾悦广场,商场,118.001652,36.824664,0.7,华光路288号,B0G13R1AAI
泰客荣店(茂业百货泰客荣店),商场,118.302933,36.813445,0.7,雪宫路333号泰客荣,B0FFL3FJXA
活力城,商场,117.868293,36.799214,0.7,正阳路2888号,B0FFKIQZ0Q
优购商城,商场,118.330515,36.805331,0.7,天齐路6号,B0FFHCKKQJ
易达广场,商场,117.837451,36.497742,0.7,域城镇中心路98号(房家门市部),B0FFG9F53H
钰朋购物中心(沣水店),商场,118.090277,36.756057,0.7,城东路南首,B0FFFVTU8F
鲁中义乌国际商贸城,商场,118.185521,36.192096,0.7,鲁山路与瑞阳大道交叉口往东600米,B02150R20Q
天隆购物广场,商场,117.860960,36.503301,0.7,西冶街159号天隆大厦,B021504I2R
金太阳商场,商场,118.166734,36.185648,0.7,振兴路41号,B021500FC8
淄博王府井广场,商场,118.051895,36.805278,0.7,共青团路与柳泉路交叉口,B021500FB9
富丽商城,商场,118.056526,36.805114,0.7,共青团西路23号,B021500FAD
银泰城,商场,118.034922,36.848671,0.7,鲁泰大道9号,B0FFG3G405
大海商厦,商场,117.958091,36.643402,0.7,淄川服装城西关一街五号厅中段,B0KD0UWEXE
平价商城,商场,117.981678,37.049655,0.7,荆家镇荆三小学西北100米,B0HRV7SXG4
奕菡团购工作室,商场,118.305537,36.821413,0.7,雪宫路与晏婴路交叉口东北180米,B0GKN58326
金惠丽百货,商场,118.065748,37.063010,0.7,荆夏路北侧,B0GDCK6XCP
玖逗集市,商场,117.840824,36.530245,0.7,团山小区东侧100米,B0G36HNDFE
程程团购,商场,117.772990,36.640175,0.7,510省道西南侧,B0G1PKGVLF
大海商场(欢乐城精品购物广场店),商场,118.023098,36.824572,0.7,玉龙商街南街与玉龙商街交叉口西南240米,B0G0256VC2
银座中心店2期,商场,118.049828,36.804971,0.7,柳泉路110号,B0FFL5L5R6
金周商城,商场,117.854245,36.797938,0.7,周村中和街97号,B0FFJCUL8M
东良进口商品(桓台店),商场,118.093213,36.952988,0.7,农信生活区云涛小区70号,B0FFHVPTU6
银座新天地(银座购物广场),商场,117.961975,36.650175,0.7,银座购物广场(淄川店),B0FFFDILMF
新东方羽绒服饰广场,商场,117.958291,36.646783,0.7,商城西街218号东80米,B021503YMG
银座(天齐店),商场,118.331189,36.813099,0.7,稷下街道天齐路200甲方正2009南区B1层,B0KKBDKMHY
振华商厦,商场,118.056047,36.801675,0.7,城中西内环路与西一路交叉口西北80米,B0IUCAOCWZ
东泰广场(茂业百货店),商场,118.296674,36.819260,0.7,大顺路69号茂业百货东泰广场-北区F1层,B0I19MUHFQ
秀水地下商城(振华商厦店),商场,118.055741,36.802120,0.7,振华商厦,B0GDCB7ZB1
奥都商城,商场,117.919161,36.660307,0.7,开发区北苏商业街22号,B0G0GHHS3E
大海商厦,商场,117.957819,36.645643,0.7,西关一服装城,B0FFFOJQGB
鸿祥名品商厦,商场,117.850395,36.797840,0.7,中和街6号,B02150436N
桓台商厦,商场,118.105225,36.959466,0.7,张北路2911号,B021500F9F
颜山商城,商场,117.862649,36.496325,0.7,新建四路77号,B021500E6C
温州商厦,商场,117.958171,36.642203,0.7,将军路街道留仙湖路3号,B021500E27
高青唐坊供销社,商场,117.960948,37.183155,0.7,潍高路349附近,B0FFHP5SMN
上地广场,商场,118.295909,36.813781,0.7,桓公路大顺路交叉口西南角,B0FFJX5F66
鲁青商城,商场,117.694342,37.184669,0.7,庆淄路496号,B02150Q5GV
万隆大楼,商场,117.849813,36.797470,0.7,中和街4号,B02150437I
壹加壹(后埠新村店),商场,118.083719,36.936016,0.7,红莲湖大道与少海路交叉口西北260米,B0G2U94UK7
贵都商城,商场,118.164154,36.186187,0.7,振兴路27号,B0FFM6IM6F
欢乐新街,商场,117.848859,36.793297,0.7,东门路38号,B021504JDJ
淄博市周村夏源商贸有限公司,商场,117.852050,36.798008,0.7,东街301号,B02150Q5VC
东泰商厦(大顺路店),商场,118.295805,36.816877,0.7,大顺路69号,B0HK3LOBFM
聚合购物,商场,118.102169,36.819988,0.7,春风路与联通路交叉口南100米,B0H1TCIUGR
盛华尚都广场,商场,118.309909,36.811202,0.7,闻韶路东桓公路南(齐都大酒店东),B0FFJNECSI
众赢商城,商场,118.053325,36.805784,0.7,共青团路53号,B0FFGBO9LM
TULIPS MAPLE(齐园绿城店),商场,118.288425,36.809494,0.7,牛山路齐园绿城,B0G3JS3RGF
银座商城(人民店),商场,117.860457,36.504428,0.7,青年路1号(金晶路与青年路交叉口东北50米),B0FFG98EU5
华盛商厦,商场,117.829677,37.171987,0.7,黄河路77号,B02150Q56J
莲池利群购物广场,商场,118.036154,36.831436,0.7,北西五路25号,B021504211
特信商城,商场,117.860326,36.496483,0.7,沿河东路大街1号特信广场1层,B021500FC6
淄博万象汇,商场,118.061399,36.802119,0.7,金晶大道66号,B0FFFZNOM3
银座购物广场(淄川店),商场,117.961902,36.649139,0.7,松龄路与淄城路交汇口路西柳泉正承广场,B021503W0U
圣元商厦,商场,117.908667,37.038908,0.7,红辛路1249号,B0J3UZ022B
兴隆商场,商场,117.863479,36.498316,0.7,沿河东路30号,B0FFGO6RZK
临淄区闻韶银山百货商场(方正2009小区店),商场,118.331701,36.817583,0.7,方正2009商业北区综合楼5单元1层3号,B0FFG2P0B8
茂业天地,商场,118.050853,36.807477,0.7,柳泉路152号,B02150RTZS
银座购物广场(五里桥店),商场,118.032224,36.813519,0.7,人民西路51号银座购物广场1层,B02150QJIF
茂业百货(商城店),商场,118.319772,36.811152,0.7,遄台路5号,B0FFF63T91
银座购物广场(博山店),商场,117.860767,36.494224,0.7,中心路40号,B0215048R6
银座商城(淄博店),商场,118.050481,36.805504,0.7,柳泉路128号,B021500FB5
淄博天誉佳惠购物广场,商场,118.062769,36.916257,0.7,果里大道229号,B0KRLA6H3M
银座商城(高青店),商场,117.840226,37.164654,0.7,芦湖路301号附近,B0FFHKAOH2
友谊商场,商场,118.168712,36.183769,0.7,历山街道健康路31号,B0HRVR22Y0
大张商贸城,商场,118.225645,36.823116,0.7,兴边路与临淄大道交叉口西北200米,B0FFM7BTEO
光辉百货,商场,117.859345,36.786782,0.7,309国道周村沙发市场明珠国际家居广场停车场,B0FFHE96K5
沐浴阳光.俊辰百货高青店,商场,117.662007,37.103489,0.7,黑里寨镇,B0FFH9D4BO
利群购物中心(桓公路店),商场,118.301688,36.813960,0.7,桓公路99号,B021500E1D
茂业百货(时代店),商场,118.296056,36.817538,0.7,大顺路68号,B0FFFRYVGV
世纪东方购物中心,商场,118.162663,36.185787,0.7,[],B0FFHWQJ8O
淄博世茂广场,商场,117.985790,36.820734,0.7,心环西路与荣一路交叉口东180米,B0JG27FJ2G
茂业百货(泰客荣店),商场,118.302802,36.813754,0.7,桓公路101号,B02150QG4K
茂业百货-北区,商场,118.296237,36.819238,0.7,石化大厦东路与化工城内环路交叉口东80米,B0FFLIITI0
兴隆商场,商场,118.059583,36.429981,0.7,沿河东路30号,B0FFFZXXQU
中国体育彩票,商场,117.959333,36.647242,0.7,张博路大桥北,B0KDORU9AF
银座商城(沂源店),商场,118.155451,36.186046,0.7,南麻镇历山国际大厦北京路南,B0FFJ0JMHY
金百盛商场,商场,117.854008,36.794975,0.7,东街68号,B0FFLIQXBR
义乌商城(博大广场店),商场,118.017503,36.822875,0.7,华光路与义乌路商城街交叉口西北80米,B0FFH80HH1
银泰·金街/时代广场,商场,118.035034,36.849708,0.7,高新区鲁泰大道9号(鲁泰大道与西五路交汇处),B0G1DKCXRC
淄博国际商贸城B馆,商场,117.995315,36.787933,0.7,昌国西路88号,B0FFHOVNVY
富源商城,商场,118.194450,36.189208,0.7,富源路与振兴路交叉口东北40米,B0KU3HCPV3
盛达商业广场B区,商场,117.863716,36.504063,0.7,金晶路与税务街交叉口西北100米,B0LGGL1QN7
自贸免税商城(建设中),商场,118.055953,36.845954,0.7,鲁泰大道辅路与天鸿路交叉口东南140米,B0FFI6IA5Q
淄博恒太城(装修中),商场,117.982957,36.823315,0.7,华光路331号,B0KR5SVJ1M
山东理工大学,学校,118.000702,36.810370,0.5,新村西路266号,B021504OS4
山东轻工职业学院,学校,117.861480,36.773570,0.5,米山路30号,B0215046ML
齐鲁医药学院,学校,117.917788,36.825047,0.5,大学城人民西路1678号,B0FFI7A087
山东农业工程学院(淄博校区),学校,117.934861,36.845859,0.5,鲁泰大道西路6666号,B0FFKLXWQ7
淄博师范高等专科学校,学校,117.896170,36.661055,0.5,淄川经济开发区唐骏欧铃路99号,B021503VQO
淄博职业学院(南校区),学校,117.927048,36.828086,0.5,联通路,B021503YLX
山东理工大学东校区,学校,118.039887,36.811417,0.5,共青团西路86号甲27号,B02150QGN3
淄博职业技术大学西校区,学校,117.920470,36.836555,0.5,北郊镇联通路西首,B02150Q82Q
山东水利技师学院,学校,117.893721,36.654078,0.5,松龄西路498号,B02150Q6JP
淄博职业技术大学北校区,学校,117.932961,36.836518,0.5,联通路506号,B02150Q82O
淄博市技师学院,学校,118.028709,36.819372,0.5,世纪路124号,B02150491C
淄博中学,学校,118.120439,36.831177,0.5,中润大道东首295号,B02150Q85O
淄博实验中学,学校,118.008153,36.801282,0.5,张周路11号,B021503BR8
淄博职业技术大学,学校,117.932027,36.833810,0.5,联通路506号,B0H12793QR
中共淄博市委党校,学校,117.922033,36.847674,0.5,深圳路2199号,B0I3ZUUR71
山东铝业职业学院,学校,118.048078,36.755520,0.5,花园路8号,B021501B5A
山东省淄博第十一中学,学校,118.058549,36.850697,0.5,柳泉路北首119号,B021502X3W
淄博高新区外国语学校,学校,118.124979,36.830867,0.5,中润大道297号,B0FFHFSIUV
淄博市临淄中学,学校,118.341718,36.834299,0.5,学府路1001号,B021504BQP
山东工业职业学院,学校,118.081232,36.886530,0.5,果里镇张北路69号,B0FFHH7CBI
山东轻工职业学院(文昌湖校区),学校,117.864573,36.720544,0.5,正阳路文昌大道路口西南角,B0J26UQG30
山东工业职业学院北区,学校,118.081257,36.886581,0.5,东泰路与张北路汇处向西南,B02150QO18
山东省淄博第五中学,学校,118.063129,36.791132,0.5,洪沟路6号,B021504145
山东省淄博第六中学(总校区),学校,117.826289,36.799133,0.5,育才路2号,B021504K9S
山东省淄博第七中学,学校,118.307753,36.801229,0.5,南二路80号,B021501C28
沂源第一中学,学校,118.202762,36.204404,0.5,新城路985号,B021503Y53
周村区第三中学,学校,117.878606,36.796485,0.5,太和路388号,B021504K11
般阳中学,学校,117.915619,36.656604,0.5,苏相路1号,B02150R49R
淄博齐盛高级中学,学校,117.976779,36.852334,0.5,房镇镇南范路淄博新区,B0FFKFIV7F
山东煤炭技术学院,学校,117.985255,36.635242,0.5,淄矿路123号,B021503VGU
张店区第八中学,学校,117.996954,36.825344,0.5,华光路298号,B02150R0J1
山东省高青一中,学校,117.849096,37.174481,0.5,黄河路7号,B021503YT9
齐德学校,学校,117.989599,36.803053,0.5,北京路西城尚苑小区对面,B0FFJKQSMR
淄博市博山中学,学校,117.843168,36.513238,0.5,珑山路附近,B021501C49
淄川中学,学校,117.965915,36.633984,0.5,颐泽将军大道205号,B021501C3D
淄博市张店区实验中学,学校,118.025832,36.799455,0.5,世纪路36号,B021501C26
淄博第四中学,学校,117.964349,36.648354,0.5,淄城路540号,B021501C3C
周村区第二中学,学校,117.859542,36.803863,0.5,丝绸路58号,B02150434O
淄博柳泉中学,学校,117.977727,36.819203,0.5,人民西路,B0FFH0YJLU
山东淄博机电工程学校,学校,117.856807,36.839902,0.5,丝绸路2691号,B02150Q8EU
山东省淄博市工业学校,学校,118.304134,36.831665,0.5,齐兴路102号,B021501B1A
山东省桓台第一中学,学校,118.072887,36.960668,0.5,中心大街2850号,B021501C14
淄博市技师学院经开校区,学校,118.051685,36.770831,0.5,张南路101号,B021502CG2
高青燕园学校,学校,117.800862,37.170935,0.5,黄河路与东邹璐交叉口以西,B0FFKC3Y5W
淄博市技师学院(东校区),学校,118.080531,36.808427,0.5,人民东路43号,B0FFG1J9US
山东省淄博第十八中学,学校,118.055517,36.818262,0.5,潘南西路18号,B021501C21
万杰朝阳学校,学校,117.852329,36.544411,0.5,205省道附近,B0FFGAP3PN
淄博第十五中学,学校,117.999981,36.621757,0.5,淄博第十五中学,B021503YMS
淄博市张店区齐盛学校,学校,117.975330,36.836168,0.5,中润大道南,B0FFHUHDRP
山东省淄博第十七中学,学校,118.035689,36.810219,0.5,十七中北街1号,B021501C25
淄博市周村区实验中学,学校,117.844915,36.787422,0.5,周隆路1307号,B021504434
淄博建筑工程学校,学校,118.106771,36.967138,0.5,建设街2252号,B021503YLK
张店区第七中学,学校,118.031440,36.818856,0.5,北西六路57号,B021501C27
淄博信息工程学校,学校,118.067903,36.805023,0.5,共青团东路27号,B02150QABF
淄博东方双语学校,学校,118.071636,36.808338,0.5,人民东路16号,B021501B07
张店区第九中学,学校,118.022021,36.815689,0.5,人民西路126号,B0FFFV6KCJ
淄博高新区实验中学,学校,118.128522,36.830556,0.5,张店区高新区中润大道299号,B0FFIBCGE8
山东沂源二中,学校,118.149219,36.176860,0.5,南麻县城鲁阳路29号,B021501C4C
山东省淄博第一中学,学校,117.857863,36.507922,0.5,翰林路6号附近,B0FFHU7V9W
祥瑞园小学,学校,118.010582,36.824284,0.5,马尚街道南京路77号,B021504AOG
山东药品食品职业学院淄博校区,学校,118.030617,36.806068,0.5,商场西街74号,B021502X5Y
淄博理工学校,学校,117.984673,36.645065,0.5,般阳路街道松龄东路246号,B0FFI7G6BZ
张店区重庆路小学,学校,118.006566,36.842239,0.5,重庆路与盛湖路交叉口东南角,B0FFH1FJ4P
临淄实验中学,学校,118.281588,36.817591,0.5,桑坡路177号,B021501B1B
张店区绿杉园小学,学校,118.046686,36.832088,0.5,环翠路10号,B021504NLZ
张店区第一中学,学校,118.043795,36.795111,0.5,和平路7号,B021501C24
沂源县沂河源学校,学校,118.190142,36.195699,0.5,鲁山路109号,B0G1D1JSTJ
山东淄博鲁才高级中学,学校,117.753424,37.137380,0.5,花沟镇政府斜对面,B0FFG1GO1I
淄川二中,学校,117.978648,36.655917,0.5,淄城东路45号,B021503W0E
淄博经济开发区实验学校,学校,118.029182,36.772790,0.5,西五路与海岱大道交汇处,B0G2DSN2H2
博山区第一中学,学校,117.848509,36.495344,0.5,李家窑北街54号,B021503X5P
淄博第十中学,学校,117.905264,36.581359,0.5,S326(淄博十中校内操场以北),B021503WVS
淄博市高新区第一中学,学校,118.036423,36.855487,0.5,兰雁大道,B0FFGZSY59
中共沂源县委党校,学校,118.195050,36.201654,0.5,新城路委党校(沂源第二实验幼儿园东北),B02150R1YL
淄博世纪英才外语学校,学校,118.065000,36.842399,0.5,万杰路116号,B02150449X
博山实验中学,学校,117.859332,36.509801,0.5,白虎山路33号,B021503YNI
山东省桓台第二中学,学校,118.072550,36.952882,0.5,渔洋大街5166号,B021504EHP
桓台县城南学校,学校,118.084252,36.940475,0.5,赵家南路与赵家西路交汇处,B02150R2VJ
萌水中学,学校,117.910734,36.726563,0.5,萌水镇杨萌路南,B021503UBX
淄博瀚文学校,学校,118.033707,36.642932,0.5,朝阳街西400米,B0GROC6PC9
淄博大学城实验中学,学校,117.923755,36.822727,0.5,柳园路3号,B0G01STTIH
齐鲁石化公司党委党校,学校,118.284505,36.817216,0.5,桓公路11号,B02150Q6IQ
桓台县红莲湖学校,学校,118.067082,36.942338,0.5,桓台大道4199号,B0GUGA1DXG
凯瑞小学,学校,118.014388,36.810389,0.5,祥和路7号,B021504DU3
高青县第五中学,学校,117.881124,37.151187,0.5,千乘路和238省道交汇处附近,B0FFGUG2E7
临淄二中,学校,118.304006,36.837102,0.5,学府路一号,B021501C18
淄博市育才中学,学校,117.969795,36.641159,0.5,般阳路66号,B021504FIO
英才中学,学校,118.302649,36.793456,0.5,新店管仲路27号,B02150QH0F
山东省博山电力技工学校,学校,117.858580,36.478547,0.5,南神头1号13,B02150449O
淄川实验中学松龄东路,学校,117.974332,36.647764,0.5,松龄路街道吉祥生活区42号楼,B021501C32
张店区第三中学,学校,118.057250,36.807199,0.5,金晶大道西4巷3号,B021501C1F
张店区铁路小学,学校,118.039572,36.790786,0.5,王舍路,B021502YAD
张店区第二中学,学校,118.070757,36.808516,0.5,人民东路14号,B021501C22
淄博科技学校,学校,117.874682,37.149148,0.5,南环路21号,B0G3AK7XAY
淄博高新区第一小学,学校,118.070519,36.844717,0.5,南营路与金晶大道交叉路口往西约100米,B02150QR7I
山东淄博新元学校,学校,118.053855,36.819376,0.5,柳泉路224号,B021501AF7
临淄一中,学校,118.313495,36.812152,0.5,桓公路173号,B0215048LE
周村城北中学,学校,117.861555,36.842978,0.5,城北路1595号,B02150QPD5
淄博高新区华侨城小学,学校,118.035677,36.839421,0.5,裕桥花园19号商铺,B0FFFDFF6U
淄博外国语实验学校,学校,117.987589,36.636598,0.5,文化路文汇街28号,B0H2YCXY1B
杨寨中学,学校,117.992787,36.712631,0.5,东环路,B0FFILK82S
临淄区淄江中学,学校,118.345542,36.812707,0.5,花园南路与齐都路交叉口东北240米,B0FFI8C2YF
张店区齐润小学,学校,118.002303,36.819910,0.5,林泽街,B0G3VYDRWJ
张店区实验小学,学校,118.016861,36.801754,0.5,金鑫街与名仕街交叉口西北140米,B0FFFTHEE5
淄博柳泉艺术学校,学校,118.077172,36.813576,0.5,东三路36号,B021504O1Q
桓台县第二小学,学校,118.093883,36.955014,0.5,镇南大街760号,B021501B9A
张店区盛湖小学,学校,117.983951,36.845121,0.5,盛湖路268号,B0I13ANXG3
桓台县实验中学,学校,118.103854,36.964247,0.5,建设街2533号,B021503YL3
沂源县大张庄中学,学校,118.031824,36.045896,0.5,大张庄镇,B021503YDK
山东工业职业学院(南区),学校,118.081115,36.883895,0.5,高新技术开发区张北路69号,B021501B46
桓台县渔洋中学,学校,118.103492,36.947909,0.5,渔洋街1819号,B0FFJX87JG
淄博张店建桥实验学校,学校,118.031465,36.820234,0.5,北西六路59号,B021504MYY
淄博市张店区第六中学,学校,117.998020,36.769038,0.5,南重庆路166号,B0FFF2R5YP
周村区正阳路小学,学校,117.863684,36.819077,0.5,青年路街道西马村,B0FFGB0IH1
淄博市临淄三中,学校,118.351663,36.846201,0.5,齐都路2号,B02150QNPN
临淄区雪宫中学,学校,118.302392,36.815593,0.5,雪宫路343号,B0215048L6
张店区莲池学校,学校,118.031351,36.830007,0.5,联通路121-甲8附近,B0215030GZ
淄博张店东方双语学校,学校,118.001771,36.799963,0.5,重庆路与和平路交汇处北100米路东,B0FFGJY7JT
淄博市张店区铝城第一中学,学校,118.040937,36.748754,0.5,花园路30号,B021504G32
磁村中学,学校,117.838890,36.620760,0.5,昆仑镇,B021503V06
淄博师专附属中学,学校,118.004382,36.638287,0.5,淄矿北路,B0FFI6V65M
滨州医学院淄博教学基地,学校,118.055554,36.807226,0.5,西二路209号,B0215043BK
淄博电子工程学校,学校,118.152562,36.187551,0.5,振兴西路1号,B0FFJUWC7K
淄博市老年大学,学校,118.043279,36.808417,0.5,共青团路86号,B021501B5B
博山区第六中学,学校,117.869513,36.503004,0.5,青龙山路51号,B021501C39
和平小区小学,学校,118.039303,36.799736,0.5,和平四路26号,B0215030G7
淄博市实验幼儿园,学校,117.977691,36.820993,0.5,马尚街道汇文路1号,B0FFJ01S8C
高青县第三中学,学校,117.835980,37.195713,0.5,田翟路6号,B021503YJI
